"id","image_id","response","create_dt","session_id"
13889,318,1,"2022-03-08 21:40:58",cea3a4f5-baaa-4be1-9779-a95fcb9ef13d
13890,112,1,"2022-03-08 22:02:59","4e854f34-affa-4aef-ad52-4ba6788633dd"
13891,120,0,"2022-03-08 22:43:41","70d8cc99-3835-4b2c-afd3-343b98615981"
13892,370,0,"2022-03-08 23:29:06","22c56d49-39c5-4ff2-a39c-4a2c920fd1b9"
13893,368,1,"2022-03-08 23:39:34","0ec31b19-256d-4499-9e3e-cfd0a2b6b436"
13894,125,-1,"2022-03-08 23:45:15","88beec72-3210-4081-b390-e33d394d6ed8"
13895,122,-1,"2022-03-08 23:50:59",d9eff69b-2d87-40aa-8b00-d4b59d63ef20
13896,24,1,"2022-03-09 00:13:45",ab345356-59ee-4b3d-af9e-3c241d49eaa4
13897,73,-1,"2022-03-09 00:23:21","50cfc414-0983-4814-b545-1389f8b55ebe"
13898,388,0,"2022-03-09 00:31:15","20891aa3-1563-4b3e-963b-da69e71f10e1"
13899,132,-1,"2022-03-09 02:05:53","7f164d14-048f-4d7c-b8b9-1238bd18906c"
13900,103,-1,"2022-03-09 02:13:57",bafa0a6c-4416-4d1d-8683-1b650d891049
13901,127,1,"2022-03-09 02:21:21",e636ed15-868d-42ff-a0b6-c8b62063ac21
13902,92,1,"2022-03-09 02:27:15","2293dc64-5fdb-4b70-b777-d4e119ec9903"
13903,49,0,"2022-03-09 02:33:03",c46e089f-254c-43f8-88cf-45d8f05df23a
13904,104,0,"2022-03-09 03:49:00","183d6fb5-3c28-4885-8410-8b54b4c0bbf6"
13905,36,0,"2022-03-09 04:10:10","339c22f7-ac50-4199-9c70-af925c31ce88"
13906,60,1,"2022-03-09 04:15:43","8336ad29-4961-478d-97b1-a177bb5d32ec"
13907,352,1,"2022-03-09 05:01:56","3aacd629-19b3-4daa-a652-0beddd82704d"
13908,356,0,"2022-03-09 05:25:12","79af5cbf-1ecc-466a-8e30-3e54ae26bc1e"
